formno	commid	id	price1	vendor1	price2	vendor2
R1COMM	ET1011	26	2.09999990463257	1	8888	88
R1COMM	ET1021	26	2	14	8888	88
R1COMM	ET1022	26	2	14	8888	88
R1COMM	ET1031	26	2	14	8888	88
R1COMM	ET1032	26	2	14	8888	88
R1COMM	ET2041	26	3	3	3	1
R1COMM	ET2051	26	4	3	8888	88
R1COMM	ET2061	26	3	6	3	1
R1COMM	ET2071	26	3	1	3	1
R1COMM	ET3081	26	2	1	.200000002980232	1
R1COMM	ET3091	26	2	1	8888	88
R1COMM	ET3101	26	2	1	2	1
R1COMM	ET3111	26	2	1	8888	88
R1COMM	ET3112	26	2	1	8888	88
R1COMM	ET4121	26	2.40000009536743	1	8888	88
R1COMM	ET4131	26	2.08999991416931	3	2.5	1
R1COMM	ET4151	26	2.40000009536743	1	8888	88
R1COMM	ET4161	26	3	1	8888	88
R1COMM	ET5171	26	4.5	99	8888	88
R1COMM	ET5181	26	2.29999995231628	14	2.20000004768372	2
R1COMM	ET5191	26	2.59999990463257	8	2.65000009536743	8
R1COMM	ET5201	26	2.25	1	8888	88
R1COMM	ET1011	25	.25	1	8888	88
R1COMM	ET1021	25	2.5	1	8888	88
R1COMM	ET1022	25	2.5	14	8888	88
R1COMM	ET1031	25	4	1	8888	88
R1COMM	ET1032	25	10	1	8888	88
R1COMM	ET2041	25	13.5	3	13.5	1
R1COMM	ET2071	25	1.25	1	1.25	1
R1COMM	ET3081	25	1	1	.100000001490116	1
R1COMM	ET3091	25	10	1	8888	88
R1COMM	ET3101	25	2	1	2	1
R1COMM	ET3111	25	1.35000002384186	1	8888	88
R1COMM	ET3112	25	1.25	1	8888	88
R1COMM	ET4121	25	1.10000002384186	1	8888	88
R1COMM	ET4131	25	18.75	3	8888	88
R1COMM	ET4151	25	1.5	1	8888	88
R1COMM	ET4161	25	10	1	8888	88
R1COMM	ET5171	25	7	99	8888	88
R1COMM	ET5181	25	2.5	14	2.40000009536743	2
R1COMM	ET5191	25	2.5	8	2.5	8
R1COMM	ET5201	25	2.5	1	8888	88
R1COMM	ET1011	24	4	1	8888	88
R1COMM	ET1021	24	4	1	8888	88
R1COMM	ET1022	24	4	1	8888	88
R1COMM	ET1031	24	4	1	8888	88
R1COMM	ET1032	24	4	1	8888	88
R1COMM	ET2041	24	4	3	4	1
R1COMM	ET2051	24	4	3	8888	88
R1COMM	ET2071	24	4	1	4	1
R1COMM	ET3081	24	4	1	.400000005960464	1
R1COMM	ET3091	24	4	1	8888	88
R1COMM	ET3101	24	3	1	4	1
R1COMM	ET3111	24	4.5	1	8888	88
R1COMM	ET3112	24	4	1	8888	88
R1COMM	ET4121	24	4	1	8888	88
R1COMM	ET4131	24	3.20000004768372	3	3.29999995231628	1
R1COMM	ET4151	24	3.20000004768372	1	8888	88
R1COMM	ET4161	24	3.5	1	8888	88
R1COMM	ET5171	24	5	99	8888	88
R1COMM	ET5181	24	5	14	8888	88
R1COMM	ET5191	24	5	8	5	8
R1COMM	ET5201	24	4	1	8888	88
R1COMM	ET1011	23	1.29999995231628	1	8888	88
R1COMM	ET1021	23	1.20000004768372	1	8888	88
R1COMM	ET1022	23	1.20000004768372	1	8888	88
R1COMM	ET1031	23	1.5	1	8888	88
R1COMM	ET1032	23	1.25	1	8888	88
R1COMM	ET2041	23	1.5	3	1.64999997615814	1
R1COMM	ET2051	23	2	3	8888	88
R1COMM	ET2061	23	1	1	1	1
R1COMM	ET2071	23	1.5	3	1.5	3
R1COMM	ET3081	23	1	1	1.10000002384186	1
R1COMM	ET3091	23	1.25	1	8888	88
R1COMM	ET3101	23	1	1	1	3
R1COMM	ET3111	23	1.5	1	8888	88
R1COMM	ET3112	23	1.5	1	8888	88
R1COMM	ET4121	23	1.29999995231628	1	8888	88
R1COMM	ET4131	23	1.20000004768372	3	1	1
R1COMM	ET4151	23	1.5	1	8888	88
R1COMM	ET4161	23	1.5	1	8888	88
R1COMM	ET5171	23	15.0799999237061	99	8888	88
R1COMM	ET5181	23	2.75	14	8888	88
R1COMM	ET5191	23	1	8	1	8
R1COMM	ET5201	23	3	1	8888	88
R1COMM	ET1011	22	10.5	1	8888	88
R1COMM	ET1021	22	10	1	8888	88
R1COMM	ET1022	22	10	1	8888	88
R1COMM	ET1031	22	10	1	8888	88
R1COMM	ET1032	22	9.25	1	8888	88
R1COMM	ET2041	22	12	3	12.25	1
R1COMM	ET2051	22	15	3	8888	88
R1COMM	ET2061	22	11	1	11	1
R1COMM	ET2071	22	12	1	12	1
