formno	commid	factid	factyp	factsz	factwgm	factwgf	factwgc
R1COMM	ET1021	1	1	400	25	8888	8888
R1COMM	ET1021	2	99	3500	6	6	8888
R1COMM	ET1021	3	11	2400	11	11	8888
R1COMM	ET1022	1	11	2300	7	7	8888
R1COMM	ET1022	2	99	3000	7	7	8888
R1COMM	ET1022	3	1	2000	14	14	8888
R1COMM	ET3111	1	1	30	5	5	9999
R1COMM	ET3112	1	1	9999	9999	9999	9999
