formno	commid	rsid	ageres	sexres	capac	livres	ethres
R1COMM	ET1011	1	42	1	2	28	5
R1COMM	ET1011	2	30	1	7	15	2
R1COMM	ET1011	3	41	1	3	22	6
R1COMM	ET1011	4	31	1	7	14	6
R1COMM	ET1011	5	32	2	6	16	3
R1COMM	ET1011	6	68	1	4	30	6
R1COMM	ET1011	7	30	1	7	30	2
R1COMM	ET1011	8	45	1	7	26	3
R1COMM	ET1011	9	48	1	7	23	3
R1COMM	ET1011	10	37	2	7	37	2
R1COMM	ET1021	1	68	1	5	37	2
R1COMM	ET1021	2	63	1	7	41	5
R1COMM	ET1021	3	64	1	7	64	5
R1COMM	ET1021	4	51	2	7	51	2
R1COMM	ET1021	5	30	1	2	30	2
R1COMM	ET1021	6	28	2	7	16	2
R1COMM	ET1021	7	35	1	3	10	2
R1COMM	ET1021	8	32	1	7	32	5
R1COMM	ET1022	1	72	1	7	31	2
R1COMM	ET1022	2	38	1	3	12	2
R1COMM	ET1022	3	60	1	7	40	6
R1COMM	ET1022	4	39	1	7	27	5
R1COMM	ET1022	5	60	1	7	4	1
R1COMM	ET1022	6	44	1	2	21	5
R1COMM	ET1022	7	35	1	3	10	2
R1COMM	ET1022	8	40	1	3	15	2
R1COMM	ET1031	1	37	1	5	31	3
R1COMM	ET1031	2	45	2	7	29	3
R1COMM	ET1031	3	70	2	6	40	2
R1COMM	ET1031	4	39	2	2	28	6
R1COMM	ET1031	5	33	1	1	3	2
R1COMM	ET1031	6	38	1	7	21	4
R1COMM	ET1031	7	34	1	2	23	3
R1COMM	ET1031	8	32	1	7	27	2
R1COMM	ET1031	9	25	2	3	3	2
R1COMM	ET1032	1	39	1	7	39	2
R1COMM	ET1032	2	39	1	2	10	6
R1COMM	ET1032	3	30	1	7	30	2
R1COMM	ET1032	4	52	1	7	28	2
R1COMM	ET1032	5	32	2	2	32	2
R1COMM	ET1032	6	37	1	4	17	2
R1COMM	ET1032	7	25	2	3	3	2
R1COMM	ET1032	8	33	1	7	25	6
R1COMM	ET2041	1	30	1	1	10	2
R1COMM	ET2041	2	42	1	4	42	2
R1COMM	ET2041	3	36	1	5	2	2
R1COMM	ET2041	4	34	1	7	34	2
R1COMM	ET2041	5	34	1	2	10	2
R1COMM	ET2041	6	25	1	3	9999	2
R1COMM	ET2041	7	30	1	4	9999	2
R1COMM	ET2041	8	29	1	7	4	2
R1COMM	ET2041	9	37	2	6	6	2
R1COMM	ET2051	1	37	1	2	30	2
R1COMM	ET2051	2	30	1	4	4	2
R1COMM	ET2051	3	23	2	3	1	2
R1COMM	ET2051	4	53	1	7	53	2
R1COMM	ET2051	5	41	1	5	39	2
R1COMM	ET2061	1	34	1	2	34	2
R1COMM	ET2061	2	28	1	2	28	2
R1COMM	ET2061	3	27	2	7	27	2
R1COMM	ET2061	4	35	1	2	35	2
R1COMM	ET2061	5	40	2	7	40	2
R1COMM	ET2061	6	19	2	6	19	2
R1COMM	ET2061	7	36	1	2	36	2
R1COMM	ET2061	8	35	1	2	35	2
R1COMM	ET2061	9	27	2	6	27	2
R1COMM	ET2061	10	38	1	2	38	2
R1COMM	ET2071	1	38	1	2	38	2
R1COMM	ET2071	2	35	1	7	35	2
R1COMM	ET2071	3	43	1	7	28	2
R1COMM	ET2071	4	42	1	5	42	2
R1COMM	ET2071	5	35	1	7	35	2
R1COMM	ET2071	6	32	1	7	31	2
R1COMM	ET2071	7	52	1	5	52	2
R1COMM	ET2071	8	30	1	7	30	2
R1COMM	ET2071	9	29	2	1	29	2
R1COMM	ET2071	10	30	1	4	4	2
R1COMM	ET3081	1	85	1	7	85	5
R1COMM	ET3081	2	58	1	7	58	10
R1COMM	ET3081	3	30	1	7	30	5
R1COMM	ET3081	4	38	1	7	38	10
R1COMM	ET3081	5	49	1	7	49	5
R1COMM	ET3081	6	35	1	7	35	5
R1COMM	ET3081	7	54	1	7	54	5
R1COMM	ET3081	8	31	1	1	31	5
R1COMM	ET3081	9	30	1	1	30	5
R1COMM	ET3091	1	40	1	2	40	5
R1COMM	ET3091	2	31	2	2	5	5
R1COMM	ET3091	3	36	1	2	36	5
R1COMM	ET3091	4	45	1	1	45	2
R1COMM	ET3091	5	68	1	1	68	5
R1COMM	ET3091	6	60	1	1	60	2
R1COMM	ET3091	7	28	1	2	28	5
R1COMM	ET3091	8	42	1	1	42	5
R1COMM	ET3091	9	40	1	3	30	5
R1COMM	ET3091	10	49	1	1	37	5
R1COMM	ET3101	1	21	1	7	21	5
R1COMM	ET3101	2	23	1	3	2	2
R1COMM	ET3101	3	21	1	7	21	2
R1COMM	ET3101	4	37	1	4	8	5
R1COMM	ET3101	5	62	1	7	62	5
R1COMM	ET3101	6	42	1	4	9	5
R1COMM	ET3101	7	60	1	5	18	5
R1COMM	ET3101	8	35	1	1	10	5
R1COMM	ET3111	1	35	1	2	35	5
R1COMM	ET3111	2	29	1	1	23	6
R1COMM	ET3111	3	44	1	2	44	5
R1COMM	ET3111	4	34	1	1	28	5
R1COMM	ET3111	5	33	1	1	33	5
R1COMM	ET3111	6	39	1	2	39	5
R1COMM	ET3111	7	35	1	1	35	5
R1COMM	ET3111	8	29	1	1	29	5
R1COMM	ET3112	1	32	1	1	32	5
R1COMM	ET3112	2	32	1	1	32	5
R1COMM	ET3112	3	40	1	2	40	2
R1COMM	ET3112	4	51	1	2	51	5
R1COMM	ET3112	5	33	1	4	33	5
R1COMM	ET3112	6	30	1	4	16	5
R1COMM	ET3112	7	39	1	5	11	5
R1COMM	ET3112	8	43	1	7	43	5
R1COMM	ET4121	1	76	1	1	76	3
R1COMM	ET4121	2	72	1	5	72	3
R1COMM	ET4121	3	47	1	7	47	3
R1COMM	ET4121	4	45	1	7	40	3
R1COMM	ET4121	5	42	1	7	42	3
R1COMM	ET4121	6	40	1	2	40	3
R1COMM	ET4121	7	39	1	3	37	3
R1COMM	ET4121	8	35	1	4	32	9
R1COMM	ET4121	9	27	1	7	4	3
R1COMM	ET4121	10	26	2	7	3	3
R1COMM	ET4131	1	68	1	7	30	7
R1COMM	ET4131	2	42	1	7	34	7
R1COMM	ET4131	3	33	2	7	14	2
R1COMM	ET4131	4	45	1	7	35	7
R1COMM	ET4131	5	24	2	7	1	7
R1COMM	ET4131	6	39	1	7	25	7
R1COMM	ET4131	7	39	1	7	30	2
R1COMM	ET4131	8	41	1	7	30	2
R1COMM	ET4131	9	23	2	7	2	2
R1COMM	ET4151	1	28	1	2	28	7
R1COMM	ET4151	2	41	1	7	41	7
R1COMM	ET4151	3	42	1	2	42	7
R1COMM	ET4151	4	37	2	7	22	7
R1COMM	ET4151	5	37	1	5	37	7
R1COMM	ET4151	6	32	1	3	3	7
R1COMM	ET4151	7	42	1	3	42	7
R1COMM	ET4151	8	50	1	7	50	7
R1COMM	ET4151	9	42	1	7	42	7
R1COMM	ET4151	10	38	1	5	38	7
R1COMM	ET4151	11	32	1	4	30	7
R1COMM	ET4161	1	37	1	7	32	4
R1COMM	ET4161	2	27	2	7	6	4
R1COMM	ET4161	3	37	1	2	37	4
R1COMM	ET4161	4	42	1	5	42	4
R1COMM	ET4161	5	40	1	7	40	4
R1COMM	ET4161	6	60	1	5	60	4
R1COMM	ET4161	7	65	1	7	60	4
R1COMM	ET4161	8	63	1	7	63	4
R1COMM	ET4161	9	50	1	7	45	4
R1COMM	ET4161	10	29	2	7	29	4
R1COMM	ET5171	1	45	1	1	45	8
R1COMM	ET5171	2	64	1	5	64	8
R1COMM	ET5171	3	32	1	2	32	8
R1COMM	ET5171	4	33	1	7	33	8
R1COMM	ET5171	5	40	1	2	40	8
R1COMM	ET5171	6	46	2	2	12	6
R1COMM	ET5171	7	38	1	3	0	8
