formno	commid	helid	facility	heldis	heltme
R1COMM	ET5181	9	1	3	3
R1COMM	ET5181	10	1	3	3
R1COMM	ET5191	1	2	4	2
R1COMM	ET5191	2	2	4	9
R1COMM	ET5191	3	1	1	1
R1COMM	ET5191	4	2	4	1
R1COMM	ET5191	5	2	4	3
R1COMM	ET5191	6	2	4	2
R1COMM	ET5191	7	1	1	1
R1COMM	ET5191	8	2	4	9
R1COMM	ET5191	9	1	1	1
R1COMM	ET5191	10	1	1	1
R1COMM	ET5201	1	2	9	9
R1COMM	ET5201	2	2	9	9
R1COMM	ET5201	3	1	1	2
R1COMM	ET5201	4	2	9	9
R1COMM	ET5201	5	2	9	9
R1COMM	ET5201	6	2	9	9
R1COMM	ET5201	7	2	9	9
R1COMM	ET5201	8	2	9	9
R1COMM	ET5201	9	2	9	9
R1COMM	ET5201	10	2	9	9
