formno	commid	payid	schid	tuition	repairs	otherfee
R1COMM	ET1011	1	1	47	100	9999
R1COMM	ET1011	2	2	63	150	9999
R1COMM	ET1011	3	3	79	250	9999
R1COMM	ET1021	1	1	0	114	15
R1COMM	ET1021	2	2	0	208	3
R1COMM	ET1021	3	3	0	257.5	0
R1COMM	ET1022	1	1	0	95	10
R1COMM	ET1022	2	2	0	200	3
R1COMM	ET1022	3	3	0	300	0
R1COMM	ET1031	1	1	0	1.70000004768372	10
R1COMM	ET1031	2	2	0	24	10
R1COMM	ET1031	3	3	0	520	10
R1COMM	ET1032	1	1	0	190	10
R1COMM	ET1032	2	2	0	221	10
R1COMM	ET1032	3	3	0	265	10
R1COMM	ET2041	1	1	0	0	0
R1COMM	ET2041	2	2	0	0	0
R1COMM	ET2041	3	3	0	50	0
R1COMM	ET2051	1	1	0	0	1.5
R1COMM	ET2051	2	2	0	0	1.5
R1COMM	ET2061	1	1	1	0	0
R1COMM	ET2061	2	2	1	0	0
R1COMM	ET2061	3	3	12	50	0
R1COMM	ET3091	1	1	0	0	2
R1COMM	ET3091	2	2	0	0	2
R1COMM	ET3091	3	2	0	80	5
R1COMM	ET3101	3	3	35	0	9999
R1COMM	ET4121	1	1	5	0	9999
R1COMM	ET4121	2	2	6	0	9999
R1COMM	ET4121	3	3	20	60	9999
R1COMM	ET4131	1	1	0	20	5
R1COMM	ET4131	2	2	0	25	8
R1COMM	ET4131	3	3	0	80	12
R1COMM	ET4151	1	1	1.5	0	9999
R1COMM	ET4161	1	1	10	0	0
R1COMM	ET4161	2	2	10	0	0
R1COMM	ET4161	3	3	20	70	0
R1COMM	ET5171	1	1	7	0	9999
R1COMM	ET5181	1	1	5.5	1	.5
R1COMM	ET5181	2	2	7	1	.5
R1COMM	ET5181	3	3	0	0	0
R1COMM	ET5191	1	1	6	0	1
R1COMM	ET5191	2	2	8	0	1
R1COMM	ET5191	3	3	25	60	5
R1COMM	ET5201	1	1	0	0	.5
R1COMM	ET5201	2	2	.5	0	.100000001490116
