formno	commid	disid	anydis	szdis	disrel	rel1	rel2	rel3	rel4
R1COMM	ET1021	1	6	0	1	7	2	6	8
R1COMM	ET1022	1	6	1	1	7	8	8	8
R1COMM	ET1031	1	6	2	2	8	8	8	8
R1COMM	ET2041	1	3	50	1	2	8	8	8
R1COMM	ET2041	2	5	0	2	8	8	8	8
R1COMM	ET2061	1	3	90	1	2	8	8	8
R1COMM	ET2061	2	6	35	2	8	8	8	8
R1COMM	ET2061	3	7	45	2	8	8	8	8
R1COMM	ET2071	1	3	85	1	2	2	2	2
R1COMM	ET2071	2	6	35	2	8	8	8	8
R1COMM	ET2071	3	7	70	2	8	8	8	8
R1COMM	ET3081	1	3	80	2	8	8	8	8
R1COMM	ET3091	1	3	98	1	2	8	8	8
R1COMM	ET3101	1	3	999	2	8	8	8	8
R1COMM	ET3112	1	3	999	2	8	8	8	8
R1COMM	ET4121	1	4	34	1	6	8	8	8
R1COMM	ET4151	1	3	90	1	2	8	8	8
R1COMM	ET4161	1	6	100	2	8	8	8	8
R1COMM	ET4161	2	7	50	2	8	8	8	8
R1COMM	ET4161	3	3	100	2	8	8	8	8
R1COMM	ET5171	1	3	90	1	2	 	 	 
R1COMM	ET5171	2	5	0	 	 	 	 	 
R1COMM	ET5181	1	7	25	1	2	8	8	8
R1COMM	ET5191	1	3	87	1	2	2	2	2
R1COMM	ET5201	1	3	75	1	2	8	8	8
R1COMM	ET5201	2	5	0	2	8	8	8	8
